user_id,recs
202612548,439563707
202612548,45011104
202612548,541205361
202612548,24631789
202612548,7319207
202612548,377181597
202612548,550674033
202612548,510056291
202612548,359122884
202612548,96538469
202612548,558782520
202612548,359216195
202612548,165778455
202612548,284345673
202612548,176196469
202612548,320079060
202612548,44515261
202612548,70124825
202612548,197985081
202612548,573458235
189035614,531063416
189035614,70124825
189035614,329536195
189035614,305926781
189035614,458420819
189035614,507775863
189035614,49682960
189035614,215854842
189035614,439563707
189035614,142883443
189035614,130976514
189035614,245954169
189035614,446362444
189035614,333325493
189035614,544642404
189035614,401064328
189035614,550674033
189035614,176196469
189035614,254543601
189035614,519264544
22320303,70124825
22320303,359216195
22320303,531063416
22320303,439563707
22320303,312757262
22320303,164213967
22320303,96538469
22320303,541205361
22320303,601482747
22320303,507775863
22320303,53911849
22320303,176196469
22320303,130976514
22320303,24631789
22320303,542386845
22320303,240181652
22320303,254543601
22320303,401064328
22320303,197985081
22320303,361665981
194699221,439563707
194699221,45011104
194699221,7319207
194699221,550674033
194699221,544642404
194699221,377181597
194699221,197985081
194699221,335322779
194699221,550779112
194699221,361765197
194699221,53911849
194699221,169369928
194699221,523069529
194699221,256873871
194699221,459962936
194699221,324906688
194699221,601482747
194699221,563734850
194699221,359122884
194699221,282870777
392744532,550674033
392744532,164213967
392744532,176196469
392744532,531063416
392744532,439563707
392744532,53911849
392744532,99728578
392744532,70124825
392744532,130976514
392744532,446991761
392744532,284345673
392744532,550779112
392744532,381608397
392744532,96538469
392744532,359216195
392744532,45011104
392744532,532145308
392744532,49682960
392744532,541205361
392744532,295033404
289449111,439563707
289449111,359216195
289449111,197985081
289449111,176196469
289449111,601482747
289449111,550779112
289449111,55724623
289449111,208464427
289449111,312757262
289449111,541205361
289449111,70124825
289449111,401064328
289449111,37500363
289449111,282870777
289449111,165733435
289449111,229171114
289449111,531063416
289449111,10731992
289449111,446362444
289449111,155759212
52131093,70124825
52131093,459962936
52131093,439563707
52131093,531063416
52131093,96538469
52131093,550674033
52131093,49682960
52131093,49582142
52131093,519264544
52131093,142883443
52131093,45354242
52131093,151204880
52131093,245954169
52131093,376683024
52131093,494770009
52131093,240181652
52131093,589114656
52131093,312757262
52131093,24631789
52131093,53911849
183531029,550674033
183531029,439563707
183531029,45011104
183531029,256873871
183531029,96538469
183531029,213533982
183531029,49682960
183531029,70124825
183531029,381608397
183531029,335322779
183531029,176196469
183531029,359216195
183531029,284345673
183531029,130976514
183531029,531063416
183531029,601482747
183531029,98922102
183531029,55724623
183531029,229171114
183531029,459962936
84279449,345867961
84279449,576493223
84279449,439563707
84279449,20006433
84279449,108492953
84279449,151471220
84279449,171269761
84279449,72103142
84279449,62053704
84279449,213134397
84279449,381608397
84279449,502836859
84279449,452480283
84279449,40049055
84279449,382543229
84279449,191895279
84279449,15510235
84279449,601482747
84279449,193741366
84279449,120452452
275701251,439563707
275701251,550674033
275701251,531063416
275701251,49682960
275701251,320079060
275701251,70124825
275701251,45011104
275701251,544642404
275701251,359216195
275701251,459962936
275701251,507775863
275701251,245954169
275701251,24631789
275701251,101392241
275701251,130976514
275701251,176196469
275701251,44515261
275701251,96538469
275701251,55724623
275701251,333325493
25498886,544642404
25498886,329536195
25498886,531063416
25498886,459962936
25498886,45354242
25498886,303696971
25498886,84195738
25498886,44515261
25498886,460547339
25498886,368128523
25498886,208308366
25498886,376683024
25498886,72241060
25498886,187690
25498886,163064586
25498886,151204880
25498886,24631789
25498886,245954169
25498886,415666341
25498886,44868947
504851826,45011104
504851826,7319207
504851826,96538469
504851826,439563707
504851826,164213967
504851826,70124825
504851826,53911849
504851826,49582142
504851826,329536195
504851826,459962936
504851826,544642404
504851826,64824918
504851826,558782520
504851826,256873871
504851826,229171114
504851826,601482747
504851826,550674033
504851826,501171402
504851826,415666341
504851826,541205361
378208555,531063416
378208555,541205361
378208555,70124825
378208555,550674033
378208555,439563707
378208555,359216195
378208555,96538469
378208555,247558228
378208555,191895279
378208555,99728578
378208555,198851832
378208555,284345673
378208555,176196469
378208555,507775863
378208555,53911849
378208555,601482747
378208555,381608397
378208555,438311223
378208555,49682960
378208555,64932596
32855823,439563707
32855823,459962936
32855823,335322779
32855823,53911849
32855823,70124825
32855823,531063416
32855823,601482747
32855823,519264544
32855823,44515261
32855823,195349638
32855823,376683024
32855823,130976514
32855823,606155181
32855823,550779112
32855823,305926781
32855823,39776373
32855823,329536195
32855823,101392241
32855823,601479759
32855823,401064328
230901607,439563707
230901607,70124825
230901607,531063416
230901607,601482747
230901607,550674033
230901607,164213967
230901607,541205361
230901607,359216195
230901607,459962936
230901607,197985081
230901607,24631789
230901607,229171114
230901607,507775863
230901607,130976514
230901607,195349638
230901607,335322779
230901607,401064328
230901607,493205717
230901607,361665981
230901607,305926781
193664004,439563707
193664004,359216195
193664004,49682960
193664004,531063416
193664004,70124825
193664004,550674033
193664004,96538469
193664004,507775863
193664004,382543229
193664004,458420819
193664004,312757262
193664004,55724623
193664004,229171114
193664004,451661624
193664004,98922102
193664004,44515261
193664004,176196469
193664004,45011104
193664004,320079060
193664004,197985081
347457184,164213967
347457184,459962936
347457184,256873871
347457184,439563707
347457184,49582142
347457184,45011104
347457184,7319207
347457184,323586654
347457184,96538469
347457184,70124825
